NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00001128;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;COMISION SERV.,ADS.TEMPORAL;MATRÓN/A;E;S_9B_1a;S9b1a;365;MATRONA;PARITORIO;DIRECCIÓN DE ENFERMERÍA;;0
00001129;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;ENFERMERO/A;E;I_9_1a;N91a;365;ENFERMERA/O;PLANTA 3ª IMPAR-HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
00001130;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;ENFERMERO/A;E;S_9B_1aV;S9b1a;31;ENFERMERA/O;PLANTA BAJA PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;ENFERMERA/O;0
00001131;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;ENFERMERO/A;E;S_9B_1a;S9b1a;286;ENFERMERA/O;PLANTA 3ª IMPAR-HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;ENFERMERA/O;0
00001132;13/01/2026;20260113;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;CELADOR/A;E;S_9B_1aV;S9b1a;13;CELADOR;SUBDIRECCIÓN ENFERMERÍA;DIRECCIÓN DE ENFERMERÍA;CELADOR;0
00001133;23/01/2026;20260123;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;CELADOR/A;E;S_9B_1a;S9b1a;10;CELADOR;SUBDIRECCIÓN ENFERMERÍA;DIRECCIÓN DE ENFERMERÍA;CELADOR;0
00001134;26/01/2026;20260126;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;CELADOR/A;E;S_9B_1a;S9b1a;3;CELADOR;SUBDIRECCIÓN ENFERMERÍA;DIRECCIÓN DE ENFERMERÍA;CELADOR;0
00001135;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;CELADOR/A;E;S_9B_1a;S9b1a;233;CELADOR;SUBDIRECCIÓN ENFERMERÍA;DIRECCIÓN DE ENFERMERÍA;CELADOR;0
00001136;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;COMISION SERV.,ADS.TEMPORAL;ENFERMERO/A;E;S_9B_1a;S9b1a;365;ENFERMERA/O;PLANTA 1ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
00001137;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;LIMPIADOR/A;E;I_9_1a;N91a;365;LIMPIADORA;LIMPIEZA EDIFICIO ACTIV.AMBULATORIAS;DIRECCIÓN DE SERVICIOS GENERALES;;0
